Brand Name,Get Started URL,README Link
KNIME node for Kripo,https://www.knime.com/3d-e-chem-nodes-for-knime,https://raw.githubusercontent.com/3D-e-Chem/knime-gpcrdb/master/README.md
SyGMa,http://sygma.readthedocs.io,https://github.com/3D-e-Chem/sygma/blob/master/README.rst
Ersilia Model Hub,https://ersilia.gitbook.io/ersilia-book,https://raw.githubusercontent.com/ersilia-os/ersilia/master/README.md
AMUSE,http://www.amusecode.org/,https://raw.githubusercontent.com/amusecode/amuse/main/README.md
eEcology Annotation Tool,http://www.uva-bits.nl/,https://raw.githubusercontent.com/NLeSC/eEcology-Annotation-WS/master/README.md
eEcology Tracker calendar,http://www.uva-bits.nl/virtual-lab/,https://github.com/NLeSC/eEcology-script-wrapper/blob/master/README.rst
frbcatdb,http://frbcatdb.readthedocs.io/en/latest/?badge=latest,https://raw.githubusercontent.com/TRASAL/frbcatdb/master/README.md
PyXenon,http://pyxenon.readthedocs.io/en/latest/,https://github.com/xenon-middleware/pyxenon/blob/master/README.rst
nlppln,http://nlppln.readthedocs.io/en/latest/installation.html,https://github.com/nlppln/nlppln/blob/master/README.rst
Noodles,http://noodles.readthedocs.io/en/latest/index.html,https://raw.githubusercontent.com/NLeSC/noodles/master/README.md
PIDIMEHS library,https://bitbucket.org/egpbos/pidilib,https://bitbucket.org/egpbos/pidilib/src/master/README.md
ShiCo,https://github.com/NLeSC/ShiCo,https://github.com/NLeSC/ShiCo/blob/master/README.MD
xtas,http://xtas.net/setup.html,https://github.com/NLeSC/xtas/blob/master/README.rst
Overture Ego,https://www.overture.bio/products/ego/,https://raw.githubusercontent.com/overture-stack/ego/main/README.md
yatiml,https://yatiml.readthedocs.io,https://github.com/yatiml/yatiml/blob/develop/README.rst
era5cli,https://era5cli.readthedocs.io,https://raw.githubusercontent.com/eWaterCycle/era5cli/main/README.md
cerulean,https://cerulean.readthedocs.io/en/latest/,https://github.com/NaturalHPC/cerulean/blob/develop/README.rst
Paired omics data platform,http://pairedomicsdata.bioinformatics.nl/,https://raw.githubusercontent.com/iomega/paired-data-form/master/README.md
c3s-magic-wps,https://c3s-magic-wps.readthedocs.io/en/latest/index.html,https://github.com/c3s-magic/c3s-magic-wps/blob/master/README.rst
Entangled,https://entangled.github.io/,https://raw.githubusercontent.com/entangled/entangled.py/main/README.md
laserchicken,https://laserchicken.readthedocs.io/en/latest/,https://raw.githubusercontent.com/eEcoLiDAR/laserchicken/master/README.md
CrowdED,,https://raw.githubusercontent.com/MaastrichtU-IDS/crowdED/master/README.md
pdb2sql,https://pdb2sql.readthedocs.io,https://raw.githubusercontent.com/DeepRank/pdb2sql/master/README.md
Discuit,https://pypi.org/project/discuit/,https://raw.githubusercontent.com/doerte/discuit-project/main/README.md
votca-xtp,https://www.votca.org,https://raw.githubusercontent.com/votca/xtp/master/README.md
GitHub action to set up singularity,https://github.com/marketplace/actions/setup-singularity,https://raw.githubusercontent.com/eWaterCycle/setup-singularity/master/README.md
Swan,https://swan.readthedocs.io/en/latest/index.html,https://github.com/nlesc-nano/swan/blob/main/README.rst
GitHub action to set up gRPC,https://github.com/marketplace/actions/setup-grpc,https://raw.githubusercontent.com/eWaterCycle/setup-grpc/main/README.md
howfairis,https://pypi.org/project/howfairis/,https://github.com/fair-software/howfairis/blob/main/README.rst
ceiba-cli,https://ceiba-cli.readthedocs.io/en/latest/?badge=latest,Not Found
CAT,https://cat.readthedocs.io/en/latest/index.html,Not Found
nanopub,https://nanopub.readthedocs.io/en/latest/,https://raw.githubusercontent.com/fair-workflows/nanopub/main/README.md
Vantage6,https://vantage6.ai/,https://raw.githubusercontent.com/vantage6/vantage6/main/README.md
nanomesh,https://nanomesh.readthedocs.io/,https://raw.githubusercontent.com/hpgem/nanomesh/main/README.md
Ceiba,https://ceiba.readthedocs.io,Not Found
pyZacros,https://pyzacros.readthedocs.io/en/latest/,https://raw.githubusercontent.com/SCM-NV/pyZacros/master/README.md
cffconvert GitHub Action,https://github.com/marketplace/actions/cffconvert,https://raw.githubusercontent.com/citation-file-format/cffconvert-github-action/main/README.md
tortellini,https://github.com/marketplace/actions/tortellini-action,https://raw.githubusercontent.com/tortellini-tools/action/main/README.md
Clustering Geo-data Cubes,https://cgc.readthedocs.io,Not Found
DG_RoomAcoustics,,https://raw.githubusercontent.com/Building-acoustics-TU-Eindhoven/edg-acoustics/main/README.md
oTree Demo Experiments,,
Carbon Budget Explorer (CABE),https://carbonbudgetexplorer.nl/,https://raw.githubusercontent.com/carbon-budget-explorer/cabe/main/README.md
Laserfarm,https://laserfarm.readthedocs.io/en/latest/,https://raw.githubusercontent.com/eEcoLiDAR/Laserfarm/master/README.md
WAM2layers,https://wam2layers.readthedocs.io/en/latest/?badge=latest,https://raw.githubusercontent.com/WAM2layers/WAM2layers/main/README.md
cwltool,https://cwltool.readthedocs.io/,Not Found
Yoda,https://utrechtuniversity.github.io/yoda/,https://raw.githubusercontent.com/UtrechtUniversity/yoda/master/README.md
BridgeDb Java,http://bridgedb.org/,https://raw.githubusercontent.com/bridgedb/BridgeDb/main/README.md
MagnumPI - Potential Integrator,https://gitlab.com/magnumpi/magnumpi,https://gitlab.com/magnumpi/magnumpi/-/blob/master/README.md?ref_type=heads
Umple,https://cruise.umple.org/umple/,https://raw.githubusercontent.com/umple/umple/master/README.md
quafing,,https://raw.githubusercontent.com/SDCCA/quafing/main/README.md
QUICKLB,https://quicklb.readthedocs.io,https://raw.githubusercontent.com/NLESC-JCER/QUICKLB/main/README.md
MultilayerGraphs.jl,https://juliagraphs.org/MultilayerGraphs.jl/dev,https://raw.githubusercontent.com/JuliaGraphs/MultilayerGraphs.jl/main/README.md
User-Defined Oceanographic Data Products,https://data.oceannetworks.ca/home,
MPET,https://mpet.readthedocs.io,https://raw.githubusercontent.com/TRI-AMDD/mpet/master/README.md
Web-enabled Awareness Research Network (WARN),https://data.oceannetworks.ca/home,
LUE,https://lue.computationalgeography.org,https://raw.githubusercontent.com/computationalgeography/lue/master/README.md
Tilbot,,https://raw.githubusercontent.com/tilbotio/tilbot-main/main/README.md
Research Portal for Secure Data Discovery Access and Collaboration,https://researchportal.indocresearch.org/,
